MachineName,MachineType,DisplayName,Level,CostType,CostQty,Durability,Power,InputPortCnt,InputBufCnt,OutputPortCnt,OutputBufCnt,Xlen,Ylen,ImgAsset,StaticMeshAsset,MaterialAsset
AirCompressor_Lv3,AirCompressor,공기 압축기,3,iron_ingot,10,1000,10,1,1,1,1,3,3,/Game/Assets/UIImg/Machine/AirCompressor_Lv3.AirCompressor_Lv3,/Game/SSR/Machine/AirCompressor/Lv3/SM_AirCompressor_Lv3.SM_AirCompressor_Lv3,/Game/SSR/Machine/AirCompressor/Lv3/M_AirCompressor_Lv3.M_AirCompressor_Lv3
PowerPlant,PowerPlant,발전기,1,iron_ingot,10,1000,30,0,0,0,0,4,4,/Game/Assets/UIImg/Machine/PowerPlant.PowerPlant,,
PowerGridNode,PowerGridNode,전력 노드,1,iron_ingot,10,1000,40,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/PowerGridNode.PowerGridNode,,
MagneticShield,MagneticShield,자기장 보호막,1,iron_ingot,100,10000,100,0,0,0,0,3,3,/Game/Assets/UIImg/Machine/MagneticShield.MagneticShield,,
Conveyor_Lv1,Conveyor,컨베이어,1,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor,,
Conveyor_Lv2,Conveyor,컨베이어,2,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor,,
Conveyor_Lv3,Conveyor,컨베이어,3,iron_ingot,10,1000,0,0,0,0,0,1,1,/Game/Assets/UIImg/Machine/Conveyor.Conveyor,,
WarehousePort,WarehousePort,창고 포트,1,iron_ingot,10,99999,0,1,1,1,1,6,5,,,
LiquidTank,LiquidTank,액체 탱크,1,iron_ingot,10,99999,0,1,1,1,1,5,5,,,
Pipe_Lv1,Pipe,파이프,1,iron_ingot,10,1000,0,0,0,0,0,1,1,,,
Pipe_Lv2,Pipe,파이프,2,iron_ingot,10,1000,0,0,0,0,0,1,1,,,
Pipe_Lv3,Pipe,파이프,3,iron_ingot,10,1000,0,0,0,0,0,1,1,,,
Synthesizer_Lv1,Synthesizer,합성기,1,iron_ingot,10,1000,10,3,3,3,3,3,4,/Game/Assets/UIImg/Machine/Synthesizer_Lv1.Synthesizer_Lv1,/Game/SSR/Machine/Synthesizer/Lv1/SM_Synthesizer_Lv1.SM_Synthesizer_Lv1,/Game/SSR/Machine/Synthesizer/Lv1/M_Synthesizer_Lv1.M_Synthesizer_Lv1
Synthesizer_Lv2,Synthesizer,합성기,2,iron_ingot,10,1000,10,3,3,3,3,3,4,/Game/Assets/UIImg/Machine/Synthesizer_Lv2.Synthesizer_Lv2,/Game/SSR/Machine/Synthesizer/Lv2/SM_Synthesizer_Lv2.SM_Synthesizer_Lv2,/Game/SSR/Machine/Synthesizer/Lv2/M_Synthesizer_Lv2.M_Synthesizer_Lv2
Synthesizer_Lv3,Synthesizer,합성기,3,iron_ingot,10,1000,10,3,3,3,3,3,4,/Game/Assets/UIImg/Machine/Synthesizer_Lv3.Synthesizer_Lv3,/Game/SSR/Machine/Synthesizer/Lv3/SM_Synthesizer_Lv3.SM_Synthesizer_Lv3,/Game/SSR/Machine/Synthesizer/Lv3/M_Synthesizer_Lv3.M_Synthesizer_Lv3
MoldingMachine_Lv1,MoldingMachine,성형기,1,iron_ingot,10,1000,10,1,1,1,1,3,4,/Game/Assets/UIImg/Machine/MoldingMachine_Lv1.MoldingMachine_Lv1,/Game/SSR/Machine/MoldingMachine/Lv1/SM_MoldingMachine_Lv1.SM_MoldingMachine_Lv1,/Game/SSR/Machine/MoldingMachine/Lv1/M_MoldingMachine_Lv1.M_MoldingMachine_Lv1
MoldingMachine_Lv2,MoldingMachine,성형기,2,iron_ingot,10,1000,10,1,1,1,1,3,4,/Game/Assets/UIImg/Machine/MoldingMachine_Lv2.MoldingMachine_Lv2,/Game/SSR/Machine/MoldingMachine/Lv2/SM_MoldingMachine_Lv2.SM_MoldingMachine_Lv2,/Game/SSR/Machine/MoldingMachine/Lv2/M_MoldingMachine_Lv2.M_MoldingMachine_Lv2
MoldingMachine_Lv3,MoldingMachine,성형기,3,iron_ingot,10,1000,10,1,1,1,1,3,4,/Game/Assets/UIImg/Machine/MoldingMachine_Lv3.MoldingMachine_Lv3,/Game/SSR/Machine/MoldingMachine/Lv3/SM_MoldingMachine_Lv3.SM_MoldingMachine_Lv3,/Game/SSR/Machine/MoldingMachine/Lv3/M_MoldingMachine_Lv3.M_MoldingMachine_Lv3
TeleCommunicationTower,TeleCommunicationTower,통신탑,1,iron_ingot,1,1000,10,0,0,0,0,3,3,/Game/Assets/UIImg/etc/telecommunicationtower.telecommunicationtower,/Game/Assets/TeleCommunication_Tower/SM_TeleCommunication_Tower.SM_TeleCommunication_Tower,/Game/Assets/TeleCommunication_Tower/M_Telecommunication_Tower.M_Telecommunication_Tower
EscapePod,EscapePod,탈출 포드,1,,0,1000,0,0,0,0,0,4,4,,,
